,index,Unnamed: 0,book_title,author_id,Year released,Rating,ratings
0,600,600,,68.0,1993,"3,97",`28463`
1,601,601,"A Kiss at Midnight (Fairy Tales, #1)",220.0,2010,"3,8",`19209`
2,602,602,"The American Roommate Experiment (Spanish Love Deception, #2)",22.0,2022,"4,01",`23341`
3,603,603,,20.0,2013,"3,97",`24306`
4,604,604,Tell Me Three Things (Hardcover),269.0,2016,"4,05",`70824`
5,605,605,"The Princess Diaries (The Princess Diaries, #1)",270.0,2000,"3,8",`247084`
6,606,606,"A Lot like Love (FBI/US Attorney, #2)",168.0,2011,"4,07",`31866`
7,607,607,Lock and Key (Hardcover),153.0,2008,"4,0",`147313`
8,608,608,"Rock Chick (Rock Chick, #1)",231.0,2008,"4,17",`56208`
9,609,609,,271.0,1909,"3,96",`220745`
10,610,610,"Flock (The Ravenhood, #1)",272.0,2020,"4,14",`65945`
11,611,611,"The Countess Conspiracy (Brothers Sinister, #3)",113.0,2013,"3,92",`11711`
12,612,612,The Light We Lost (Hardcover),273.0,2017,"3,87",`131246`
13,613,613,"Born in Ice (Born In Trilogy, #2)",93.0,1995,"4,16",`36638`
14,614,614,,7.0,2013,"4,05",`86070`
15,615,615,"A Lady by Midnight (Spindle Cove, #3)",72.0,2012,"3,87",`18785`
16,616,616,"All the Feels (Spoiler Alert, #2)",83.0,2021,"3,92",`15136`
17,617,617,Dating You / Hating You (Paperback),9.0,2017,"3,63",`27840`
18,618,618,Practice Makes Perfect (Mass Market Paperback),168.0,2009,"3,96",`31107`
19,619,619,,,2019,"4,04",`69334`
20,620,620,"Twisted Palace (The Royals, #3)",96.0,2016,"3,93",`67980`
21,621,621,"Fire (Graceling Realm, #2)",94.0,2009,"4,1",`177298`
22,622,622,,73.0,2010,"3,89",`325074`
23,623,623,Before We Were Strangers (Paperback),274.0,2015,"4,21",`55835`
24,624,624,"Dead as a Doornail (Sookie Stackhouse, #5)",,2005,"4,0",`212808`
25,625,625,Dear Aaron (Kindle Edition),35.0,2017,"3,95",`40646`
26,626,626,,,2010,"3,91",`33897`
27,627,627,"Sorcery of Thorns (Sorcery of Thorns, #1)",241.0,2019,"4,08",`96114`
28,628,628,The Problem with Forever (Hardcover),55.0,2016,"4,0",`52500`
29,629,629,"Face the Fire (Three Sisters Island, #3)",93.0,2002,"4,15",`39714`
30,630,630,"Boyfriend Material (London Calling, #1)",80.0,2020,"4,09",`81106`
31,631,631,,68.0,2008,"4,19",`35870`
32,632,632,,142.0,2017,"3,83",`7756`
33,633,633,"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",276.0,2021,"3,74",`15428`
34,634,634,"Moon Called (Mercy Thompson, #1)",267.0,2006,"4,14",`196203`
35,635,635,After I Do (Paperback),18.0,2014,"3,99",`74312`
36,636,636,"In Bed with a Highlander (McCabe Trilogy, #1)",254.0,2011,"3,98",`33404`
37,637,637,,26.0,2014,"4,09",`74833`
38,638,638,"Hello Stranger (The Ravenels, #4)",68.0,2018,"4,06",`23454`
39,639,639,"Lover Reborn (Black Dagger Brotherhood, #10)",42.0,2012,"4,33",`80075`
40,640,640,"Rush (Breathless, #1)",254.0,2013,"3,91",`75310`
41,641,641,"Priest (Priest, #1)",277.0,2015,"3,76",`58593`
42,642,642,"Forever (The Wolves of Mercy Falls, #3)",,2011,"3,89",`120152`
43,643,643,"The Bookshop on the Corner (Scottish Bookshop, #1)",278.0,2016,"3,84",`73591`
44,644,644,Layla (Kindle Edition),7.0,2020,"3,75",`198655`
45,645,645,The No-Show (Paperback),23.0,2022,"3,9",`35240`
46,646,646,,40.0,2018,"3,82",`70871`
47,647,647,"After We Fell (After, #3)",102.0,2014,"3,83",`125212`
48,648,648,"Across the Universe (Across the Universe, #1)",279.0,2011,"3,77",`117352`
49,649,649,Funny You Should Ask (Paperback),,2022,"3,78",`43861`
50,650,650,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",70.0,2014,"4,13",`102978`
51,651,651,"Idol (VIP, #1)",251.0,2016,"4,0",`33894`
52,652,652,"A Deal with the Elf King (Married to Magic, #1)",281.0,2020,"3,77",`61780`
53,653,653,"Rising Tides (Chesapeake Bay Saga, #2)",,1998,"4,16",`32651`
54,654,654,,282.0,2011,"4,02",`83508`
55,655,655,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",14.0,2003,"3,81",`84084`
56,656,656,"If the Shoe Fits (Meant to Be, #1)",283.0,2021,"4,02",`24503`
57,657,657,,93.0,2005,"4,06",`39612`
58,658,658,"Terms and Conditions  (Dreamland Billionaires, #2)",127.0,2022,"4,27",`78931`
59,659,659,A Pho Love Story (Hardcover),284.0,2021,"3,71",`15200`
60,660,660,"Devil's Daughter (The Ravenels, #5)",,2019,"4,15",`23397`
61,661,661,,285.0,2013,"4,06",`17123`
62,662,662,,,2018,"3,89",`8423`
63,663,663,"A Wallflower Christmas (Wallflowers, #4.5)",68.0,2008,"3,87",`24035`
64,664,664,Eliza and Her Monsters (Hardcover),286.0,2017,"4,16",`60125`
65,665,665,,138.0,2012,"4,21",`112959`
66,666,666,"The Boyfriend Project (The Boyfriend Project, #1)",287.0,2020,"3,58",`14233`
67,667,667,"Crooked Kingdom (Six of Crows, #2)",78.0,2016,"4,61",`477098`
68,668,668,,156.0,2011,"4,39",`105380`
69,669,669,,288.0,2019,"3,77",`31026`
70,670,670,,289.0,2007,"3,8",`469197`
71,671,671,"Origin (Lux, #4)",55.0,2013,"4,34",`106214`
72,672,672,,93.0,1999,"4,18",`32911`
73,673,673,"Eleven Scandals to Start to Win a Duke's Heart (Love By Numbers, #3)",104.0,2011,"4,0",`26960`
74,674,674,"No Good Duke Goes Unpunished (The Rules of Scoundrels, #3)",,2013,"3,86",`20338`
75,675,675,"Heart of the Sea (Gallaghers of Ardmore, #3)",93.0,2000,"4,15",`30801`
76,676,676,Hani and Ishu's Guide to Fake Dating (Kindle Edition),290.0,2021,"4,15",`21328`
77,677,677,"The Book of Life (All Souls, #3)",71.0,2014,"4,19",`171986`
78,678,678,"Unearthly (Unearthly, #1)",291.0,2011,"4,01",`126498`
79,679,679,Holding Up the Universe (Hardcover),66.0,2016,"3,76",`105375`
80,680,680,"Never Judge a Lady by Her Cover (The Rules of Scoundrels, #4)",104.0,2014,"3,96",`19315`
81,681,681,"Visions of Heat (Psy-Changeling, #2)",151.0,2007,"4,08",`38315`
82,682,682,"Definitely Dead (Sookie Stackhouse, #6)",99.0,2006,"4,01",`198979`
83,683,683,"The Girl with the Make-Believe Husband (Rokesbys, #2)",20.0,2017,"3,94",`31086`
84,684,684,The Song of Achilles (Paperback),32.0,2011,"4,38",`950167`
85,685,685,"Illuminae (The Illuminae Files, #1)",217.0,2015,"4,25",`141918`
86,686,686,"Morrigan's Cross (Circle Trilogy, #1)",93.0,2006,"4,14",`52998`
87,687,687,"Born in Shame (Born In Trilogy, #3)",93.0,1996,"4,1",`34165`
88,688,688,"Red Lily (In the Garden, #3)",93.0,2005,"4,08",`38459`
89,689,689,,292.0,2021,"4,26",`42868`
90,690,690,"The Play (Briar U, #3)",21.0,2019,"4,07",`59152`
91,691,691,"The Raven Prince (Princes Trilogy, #1)",293.0,2006,"3,95",`22313`
92,692,692,Midnight Sun [2008 Draft] (ebook),3.0,2008,"4,01",`149452`
93,693,693,"China Rich Girlfriend (Crazy Rich Asians, #2)",67.0,2015,"3,84",`188682`
94,694,694,"Always Only You (Bergman Brothers, #2)",232.0,2020,"4,05",`24067`
95,695,695,"Kiss of the Highlander (Highlander, #4)",156.0,2001,"4,3",`41767`
96,696,696,This Time Next Year (Kindle Edition),294.0,2020,"3,85",`71158`
97,697,697,"Throttled (Dirty Air, #1)",127.0,2020,"3,88",`67884`
98,698,698,"Tokyo Ever After (Tokyo Ever After, #1)",295.0,2021,"3,96",`31215`
99,699,699,"Pretty Reckless (All Saints High, #1)",132.0,2019,"4,12",`56819`
100,700,700,"Ten Things I Love About You (Bevelstoke, #3)",20.0,2010,"3,99",`24867`
101,701,701,Stepbrother Dearest (Paperback),261.0,2014,"4,06",`66152`
102,702,702,"Heaven, Texas (Chicago Stars, #2)",163.0,1995,"4,05",`33014`
103,703,703,"Backstage Pass (Sinners on Tour, #1)",296.0,2010,"4,0",`60233`
104,704,704,"Wicked Lovely (Wicked Lovely, #1)",297.0,2007,"3,69",`162190`
105,705,705,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",298.0,2020,"3,96",`148866`
106,706,706,"Lead (Stage Dive, #3)",159.0,2014,"4,28",`47155`
107,707,707,"Down London Road (On Dublin Street, #2)",61.0,2013,"4,21",`52006`
108,708,708,"Wicked Intentions (Maiden Lane, #1)",293.0,2010,"3,82",`18073`
109,709,709,Hate Notes (Kindle Edition),250.0,2018,"4,14",`63594`
110,710,710,Since You've Been Gone (Hardcover),214.0,2014,"4,09",`109598`
111,711,711,"Reached (Matched, #3)",64.0,2012,"3,55",`157531`
112,712,712,"Key of Knowledge (Key Trilogy, #2)",93.0,2003,"4,12",`36506`
113,713,713,The Last Letter from Your Lover (Paperback),11.0,2008,"3,99",`109017`
114,714,714,"Welcome to Temptation (Dempseys, #1)",114.0,2000,"3,94",`33011`
115,715,715,"The Maddest Obsession (Made, #2)",149.0,2019,"4,31",`85902`
116,716,716,"White Hot (Hidden Legacy, #2)",233.0,2017,"4,47",`38726`
117,717,717,"The Tourist Attraction (Moose Springs, Alaska #1)",299.0,2020,"3,56",`24886`
118,718,718,"Chasing Cassandra (The Ravenels, #6)",68.0,2020,"4,14",`24023`
119,719,719,Starry Eyes (Hardcover),216.0,2018,"4,01",`26572`
120,720,720,Mr. Wrong Number (Kindle Edition),178.0,2022,"3,75",`30262`
121,721,721,"Finale (Hush, Hush, #4)",65.0,2012,"4,14",`163162`
122,722,722,Flipped (Paperback),300.0,2001,"3,97",`109473`
123,723,723,"Things We Never Got Over (Knockemout, #1)",301.0,2022,"4,29",`175869`
124,724,724,"Act Like It (London Celebrities, #1)",302.0,2015,"3,87",`10804`
125,725,725,A Room with a View (Paperback),303.0,1908,"3,9",`169459`
126,726,726,,304.0,2013,"3,69",`48757`
127,727,727,,81.0,2022,"4,03",`38994`
128,728,728,"Prodigy (Legend, #2)",150.0,2013,"4,24",`241293`
129,729,729,"Grin and Beard It (Winston Brothers, #2)",118.0,2016,"4,14",`27092`
130,730,730,,,2013,"3,74",`141702`
131,731,731,Eligible: A Modern Retelling of Pride & Prejudice (Hardcover),305.0,2016,"3,6",`83519`
132,732,732,"All Together Dead (Sookie Stackhouse, #7)",99.0,2007,"4,05",`195863`
133,733,733,"The Iron Duke (Iron Seas, #1)",306.0,2010,"3,84",`16737`
134,734,734,"Key of Valor (Key Trilogy, #3)",93.0,2003,"4,13",`36182`
135,735,735,"Before Jamaica Lane (On Dublin Street, #3)",61.0,2014,"4,3",`42069`
136,736,736,"Whitney, My Love (Westmoreland, #2)",198.0,1985,"4,13",`34654`
137,737,737,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",124.0,2013,"4,21",`84454`
138,738,738,"Bloodfever (Fever, #2)",156.0,2007,"4,25",`103842`
139,739,739,"Isn't It Bromantic? (Bromance Book Club, #4)",43.0,2021,"4,07",`20046`
140,740,740,"Lover at Last (Black Dagger Brotherhood, #11)",,2013,"4,3",`67563`
141,741,741,"On the Fence (Old Town Shops, #2)",199.0,2014,"4,03",`57713`
142,742,742,"No Rest for the Wicked (Immortals After Dark, #2)",185.0,2006,"4,27",`56303`
143,743,743,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",15.0,2014,"4,33",`255753`
144,744,744,Beauty: A Retelling of the Story of Beauty and the Beast (Paperback),307.0,1978,"4,05",`77679`
145,745,745,"This Is What Happy Looks Like (This is What Happy Looks Like, #1)",139.0,2013,"3,67",`50009`
146,746,746,My True Love Gave to Me: Twelve Holiday Stories (Hardcover),24.0,2014,"3,67",`39069`
147,747,747,"Well Matched (Well Met, #3)",308.0,2021,"3,87",`18109`
148,748,748,"Someone to Watch Over Me (Bow Street Runners, #1)",52.0,1998,"3,77",`21345`
149,749,749,"This Heart of Mine (Chicago Stars, #5)",68.0,2001,"4,09",`30843`
150,750,750,,93.0,1996,"4,09",`46437`
151,751,751,The Henna Wars (Hardcover),,2020,"4,0",`20281`
152,752,752,"At Grave's End (Night Huntress, #3)",,2008,"4,29",`87401`
153,753,753,"Chesapeake Blue (Chesapeake Bay Saga, #4)",93.0,2002,"4,19",`33157`
154,754,754,"While We Were Dating (The Wedding Date, #6)",38.0,2021,"3,76",`29416`
155,755,755,"Seduction and Snacks (Chocolate Lovers, #1)",309.0,2012,"4,07",`52342`
156,756,756,"The Risk (Mindf*ck, #1)",310.0,2016,"4,29",`73865`
157,757,757,Felix Ever After (Hardcover),311.0,2020,"4,32",`47296`
158,758,758,Egomaniac (Paperback),250.0,2017,"4,22",`44747`
159,759,759,"Be with Me (Wait for You, #2)",55.0,2014,"4,12",`46763`
160,760,760,"The Warlord Wants Forever (Immortals After Dark, #0.5)",,2006,"4,04",`58997`
161,761,761,"Magic Bites (Kate Daniels, #1)",233.0,2007,"4,05",`117960`
162,762,762,"The Lost Duke of Wyndham (Two Dukes of Wyndham, #1)",20.0,2008,"3,74",`22186`
163,763,763,"The Year We Fell Down (The Ivy Years, #1)",181.0,2014,"3,96",`28236`
164,764,764,"Beauty and the Mustache (Knitting in the City, #4; Winston Brothers, #0)",118.0,2014,"4,21",`27550`
165,765,765,,151.0,2007,"4,29",`38179`
166,766,766,,312.0,2003,"3,94",`17284`
167,767,767,,163.0,1998,"4,17",`33460`
168,768,768,"After Ever Happy (After, #4)",,2015,"3,99",`109402`
169,769,769,Only Mostly Devastated (Hardcover),313.0,2020,"3,99",`23451`
170,770,770,"On the Edge (The Edge, #1)",233.0,2009,"4,04",`42672`
171,771,771,A Midsummer Night's Dream (Paperback),27.0,1595,"3,95",`498829`
172,772,772,,13.0,2014,"4,54",`113874`
173,773,773,,93.0,2010,"4,16",`55185`
174,774,774,Frederica (Paperback),229.0,1965,"4,19",`20606`
175,775,775,,314.0,2011,"3,87",`72746`
176,776,776,"Love Unscripted (Love, #1)",315.0,2010,"4,02",`67961`
177,777,777,Perfect on Paper (Hardcover),313.0,2021,"4,07",`21852`
178,778,778,"Dead and Gone (Sookie Stackhouse, #9)",99.0,2009,"4,01",`183547`
179,779,779,"From Dead to Worse (Sookie Stackhouse, #8)",99.0,2008,"4,01",`183532`
180,780,780,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",14.0,2004,"3,84",`84338`
181,781,781,"Pride, Prejudice, and Other Flavors (The Rajes, #1)",316.0,2019,"3,69",`15208`
182,782,782,"Effortless (Thoughtless, #2)",179.0,2011,"4,35",`115071`
183,783,783,"Blood Brothers (Sign of Seven, #1)",93.0,2007,"4,16",`52509`
184,784,784,"Beautiful World, Where Are You (Hardcover)",59.0,2021,"3,59",`250892`
185,785,785,,291.0,2016,"4,04",`50688`
186,786,786,"The Other Miss Bridgerton (Rokesbys, #3)",20.0,2018,"4,02",`27367`
