title,author_name,year,rating,ratings
Kingdom of Ash,Sarah J. Maas,2018,4.62,261600
Redeeming Love,Francine Rivers,1991,4.5,273997
Ignite Me,Tahereh Mafi,2014,4.45,262482
An Echo in the Bone,Diana Gabaldon,2009,4.43,139381
A Breath of Snow and Ashes,Diana Gabaldon,2005,4.43,163691
Beard Science,Penny Reid,2016,4.41,31256
Part of Your World,Abby Jimenez,2022,4.41,54863
Lover Mine,J.R. Ward,2010,4.39,109537
Lady Midnight,Cassandra Clare,2016,4.37,209164
Last Sacrifice,Richelle Mead,2010,4.37,275495
Lover Avenged,J.R. Ward,2009,4.36,111849
Spirit Bound,Richelle Mead,2010,4.33,281912
Cemetery Boys,Aiden Thomas,2020,4.33,63034
Burn for Me,Ilona Andrews,2014,4.32,53398
Blood Promise,Richelle Mead,2009,4.31,299530
Wait for It,Mariana Zapata,2016,4.31,69159
The Sea of Tranquility,Katja Millay,2012,4.3,83835
The Bronze Horseman,Paullina Simons,2000,4.3,78595
Kiss the Sky,Krista Ritchie,2014,4.29,47515
Losing Hope,Colleen Hoover,2013,4.29,135445
Him,Sarina Bowen,2015,4.29,47672
One Foot in the Grave,Jeaniene Frost,2008,4.29,101508
Howl’s Moving Castle,Diana Wynne Jones,1986,4.28,284025
Tower of Dawn,Sarah J. Maas,2017,4.28,246170
Strange the Dreamer,Laini Taylor,2017,4.28,107451
Better Than the Movies,Lynn Painter,2021,4.27,56775
Opal,Jennifer L. Armentrout,2012,4.26,143863
The Gamble,Kristen Ashley,2011,4.26,57504
Onyx,Jennifer L. Armentrout,2012,4.25,171763
Lovely War,Julie Berry,2019,4.25,44230
The Secret,Julie Garwood,1992,4.25,49646
The Fiery Cross,Diana Gabaldon,2001,4.24,195915
Daisy Jones & The Six,Taylor Jenkins Reid,2019,4.24,740691
The Bride,Julie Garwood,1989,4.23,62543
The ​Crown of Gilded Bones,Jennifer L. Armentrout,2021,4.23,160403
The Witness,Nora Roberts,2012,4.22,75491
Born in Fire,Nora Roberts,1994,4.22,71920
Mystery Man,Kristen Ashley,2011,4.21,70047
Life's Too Short,Abby Jimenez,2021,4.21,53005
A Kingdom of Dreams,Judith McNaught,1989,4.21,50780
A Knight in Shining Armor,Jude Deveraux,1989,4.2,35480
Dance Upon the Air,Nora Roberts,2001,4.2,68172
Love in the Afternoon,Lisa Kleypas,2010,4.2,44436
Once Burned,Jeaniene Frost,2012,4.2,66290
Night Pleasures,Sherrilyn Kenyon,2002,4.19,77021
Tears of the Moon,Nora Roberts,2000,4.19,33160
Kiss an Angel,Susan Elizabeth Phillips,1996,4.19,58552
Happy Ever After,Nora Roberts,2010,4.18,57059
Rules of Attraction,Simone Elkeles,2010,4.18,86658
Autoboyography,Christina Lauren,2017,4.18,47602
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,4.18,698006
Dreaming of You,Lisa Kleypas,1994,4.18,40674
The Coincidence of Callie & Kayden,Jessica Sorensen,2012,4.17,114624
Key of Light,Nora Roberts,2003,4.17,59041
The Perfect Hope,Nora Roberts,2012,4.17,43739
Today Tonight Tomorrow,Rachel Lynn Solomon,2020,4.17,45486
Never Too Far,Abbi Glines,2013,4.17,119168
The Air He Breathes,Brittainy C. Cherry,2015,4.17,57678
Tempt Me at Twilight,Lisa Kleypas,2009,4.17,41823
Finding Cinderella,Colleen Hoover,2013,4.16,87058
Beautiful Stranger,Christina Lauren,2013,4.16,86066
Real,Katy Evans,2013,4.16,106565
The Longest Ride,Nicholas Sparks,2012,4.16,127530
Bossman,Vi Keeland,2016,4.16,63756
Fantasy Lover,Sherrilyn Kenyon,2002,4.15,90374
Natural Born Charmer,Susan Elizabeth Phillips,2007,4.15,35013
The Grand Sophy,Georgette Heyer,1950,4.15,30755
Never Seduce a Scot,Maya Banks,2012,4.15,31542
I'll Give You the Sun,Jandy Nelson,2014,4.15,309331
Married by Morning,Lisa Kleypas,2010,4.14,39467
North and South,Elizabeth Gaskell,1854,4.14,158995
Smooth Talking Stranger,Lisa Kleypas,2009,4.14,39342
Savor the Moment,Nora Roberts,2010,4.14,55327
Heaven and Earth,Nora Roberts,2001,4.14,40486
Days of Blood & Starlight,Laini Taylor,2012,4.14,156341
The Bodyguard,Katherine Center,2022,4.13,46261
Match Me If You Can,Susan Elizabeth Phillips,2005,4.13,45324
Perfection,R.L. Mathewson,2011,4.13,64231
Rule,Jay Crownover,2012,4.12,97511
Dead to the World,Charlaine Harris,2004,4.12,253637
Captivated by You,Sylvia Day,2014,4.12,104998
Still Me,Jojo Moyes,2018,4.12,181067
Bed of Roses,Nora Roberts,2009,4.12,60829
Naked in Death,J.D. Robb,1995,4.12,181828
Rubinrot,Kerstin Gier,2009,4.12,138597
A Hunger Like No Other,Kresley Cole,2006,4.12,78645
Cry Wolf,Patricia Briggs,2008,4.12,97790
The Next Always,Nora Roberts,2011,4.12,79935
A Week to Be Wicked,Tessa Dare,2012,4.11,31300
Lover Enshrined,J.R. Ward,2008,4.11,113315
On the Island,Tracey Garvis Graves,2011,4.11,81213
Marrying Winterborne,Lisa Kleypas,2016,4.11,35087
Stuck-Up Suit,Vi Keeland,2016,4.1,65530
The Dead Romantics,Ashley Poston,2022,4.1,27054
Ten Tiny Breaths,K.A. Tucker,2012,4.1,76134
Luna and the Lie,Mariana Zapata,2018,4.1,43382
Devil in Spring,Lisa Kleypas,2017,4.09,34046
Thoughtless,S.C. Stephens,2012,4.09,138379
Lord of Scoundrels,Loretta Chase,1995,4.09,34076
Dragon Bound,Thea Harrison,2011,4.08,48193
The Last Boyfriend,Nora Roberts,2012,4.08,46691
Heartless,Marissa Meyer,2016,4.08,151923
Lick,Kylie Scott,2013,4.08,84934
I Kissed Shara Wheeler,Casey McQuiston,2022,4.07,36892
